ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q662317,Federal Department of Finance,1848-01-01,9,,,,,,,,,,,,,,
,Q662528,"Federal Department of Economic Affairs, Education and Research",1848-01-01,9,,,,,,,,,,,,,,
,Q667135,"Federal Department of Defence, Civil Protection and Sports",1848-01-01,9,,,,,,,,,,,,,,
,Q675983,Federal Department of Foreign Affairs,1848-01-01,9,,,,,,,,,,,,,,
,Q678586,Federal Department of Justice and Police,1848-01-01,9,,,,,,,,,,,,,,
,Q678661,"Federal Department of Environment, Transport, Energy and Communications",1848-01-01,9,,,,,,,,,,,,,,
,Q688584,Federal Department of Home Affairs,1848-01-01,9,,,,,,,,,,,,,,
