name,position
"",Member of the Swiss Federal Council
Alain Berset,Member of the Swiss Federal Council
Ueli Maurer,Member of the Swiss Federal Council
Viola Amherd,Member of the Swiss Federal Council
Simonetta Sommaruga,Member of the Swiss Federal Council
Karin Keller-Sutter,Member of the Swiss Federal Council
