position,person,personID,start,end
President,Adolf Ogi,Q115531,2000-01-01,2000-12-31
President,Moritz Leuenberger,Q115520,2001-01-01,2001-12-31
President,Kaspar Villiger,Q605874,2002-01-01,2002-12-31
President,Pascal Couchepin,Q115513,2003-01-01,2003-12-31
President,Joseph Deiss,Q123823,2004-01-01,2004-12-31
President,Samuel Schmid,Q115841,2005-01-01,2005-12-31
President,Moritz Leuenberger,Q115520,2006-01-01,2006-12-31
President,Micheline Calmy-Rey,Q122377,2007-01-01,2007-12-31
President,Pascal Couchepin,Q115513,2008-01-01,2008-12-31
President,Hans-Rudolf Merz,Q122275,2009-01-01,2009-12-31
President,Doris Leuthard,Q115442,2010-01-01,2010-12-31
President,Micheline Calmy-Rey,Q122377,2011-01-01,2011-12-31
President,Eveline Widmer-Schlumpf,Q162767,2012-01-01,2012-12-31
President,Ueli Maurer,Q123979,2013-01-01,2013-12-31
President,Didier Burkhalter,Q58280,2014-01-01,2014-12-31
President,Simonetta Sommaruga,Q122991,2015-01-01,2015-12-31
President,Johann Schneider-Ammann,Q380063,2016-01-01,2016-12-31
President,Doris Leuthard,Q115442,2017-01-01,2017-12-31
President,Alain Berset,Q123939,2018-01-01,2018-12-31
President,Ueli Maurer,Q123979,2019-01-01,2019-12-31
President,Simonetta Sommaruga,Q122991,2020-01-01,2020-12-31
President,Guy Parmelin,Q121160,2021-01-01,2021-12-31
President,Ignazio Cassis,Q117254,2022-01-01,
Vice President,Moritz Leuenberger,Q115520,2000-01-01,2000-12-01
Vice President,Kaspar Villiger,Q605874,2001-01-01,2001-12-31
Vice President,Pascal Couchepin,Q115513,2002-01-01,2002-12-31
Vice President,Moritz Leuenberger,Q115520,2005-01-01,2005-12-31
Vice President,Micheline Calmy-Rey,Q122377,2006-01-01,2006-12-31
Vice President,Pascal Couchepin,Q115513,2007-01-01,2007-12-31
Vice President,Doris Leuthard,Q115442,2009-01-01,2009-12-31
Vice President,Hans-Rudolf Merz,Q122275,2009-01-01,2009-12-31
Vice President,Micheline Calmy-Rey,Q122377,2010-11-01,2010-12-31
Vice President,Ueli Maurer,Q123979,2012-01-01,2012-12-31
Vice President,Doris Leuthard,Q115442,2016-01-01,2016-12-31
Vice President,Alain Berset,Q123939,2017-01-01,2017-12-31
Vice President,Ueli Maurer,Q123979,2018-01-01,2018-12-31
Vice President,Ignazio Cassis,Q117254,2021-01-01,2021-12-31
Vice President,Alain Berset,Q123939,2022-01-01,
Member of the Federal Council,Adolf Ogi,Q115531,1988-01-01,2000-12-31
Member of the Federal Council,Kaspar Villiger,Q605874,1989-02-01,2003-12-31
Member of the Federal Council,Ruth Dreifuss,Q123902,1993-04-01,2002-12-31
Member of the Federal Council,Moritz Leuenberger,Q115520,1995-10-01,2010-10-31
Member of the Federal Council,Pascal Couchepin,Q115513,1998-04-01,2009-10-31
Member of the Federal Council,Joseph Deiss,Q123823,1999,2006
Member of the Federal Council,Joseph Deiss,Q123823,1999,2006-07-31
Member of the Federal Council,Ruth Metzler,Q464007,1999-01-01,2003-12-10
Member of the Federal Council,Ruth Metzler,Q464007,1999-01-01,2003-12-31
Member of the Federal Council,Joseph Deiss,Q123823,1999-04-01,2006
Member of the Federal Council,Joseph Deiss,Q123823,1999-04-01,2006-07-31
Member of the Federal Council,Ruth Metzler,Q464007,1999-04-01,2003-12-10
Member of the Federal Council,Ruth Metzler,Q464007,1999-04-01,2003-12-31
Member of the Federal Council,Samuel Schmid,Q115841,2001-01-01,2008-12-31
Member of the Federal Council,Micheline Calmy-Rey,Q122377,2003-01-01,2011-12-31
Member of the Federal Council,Hans-Rudolf Merz,Q122275,2003-12-10,2010-10-31
Member of the Federal Council,Hans-Rudolf Merz,Q122275,2003-12-10,2010-11-01
Member of the Federal Council,Christoph Blocher,Q123857,2003-12-10,2007-12-31
Member of the Federal Council,Hans-Rudolf Merz,Q122275,2004-01-01,2010-10-31
Member of the Federal Council,Hans-Rudolf Merz,Q122275,2004-01-01,2010-11-01
Member of the Federal Council,Christoph Blocher,Q123857,2004-01-01,2007-12-31
Member of the Federal Council,Doris Leuthard,Q115442,2006-08-01,2018-12-31
Member of the Federal Council,Eveline Widmer-Schlumpf,Q162767,2008-01-01,2015-12-31
Member of the Federal Council,Ueli Maurer,Q123979,2009-01-01,
Member of the Federal Council,Didier Burkhalter,Q58280,2009-11-01,2017-11-01
Member of the Federal Council,Simonetta Sommaruga,Q122991,2010-11-01,
Member of the Federal Council,Johann Schneider-Ammann,Q380063,2010-11-01,2018-12-31
Member of the Federal Council,Alain Berset,Q123939,2012-01-01,
Member of the Federal Council,Guy Parmelin,Q121160,2016-01-01,
Member of the Federal Council,Ignazio Cassis,Q117254,2017-11-01,
Member of the Federal Council,Karin Keller-Sutter,Q115881,2019-01-01,
Member of the Federal Council,Viola Amherd,Q120917,2019-01-01,
Chancellor,Annemarie Huber-Hotz,Q122094,2000-01-01,2007-12-31
Chancellor,Corina Casanova,Q466874,2008-01-01,2015-12-31
Chancellor,Walter Thurnherr,Q21528856,2016-01-01,
President of the Council of States,Carlo Schmid,Q690939,1999-12-06,2000-11-27
President of the Council of States,Françoise Saudan,Q1282105,2000-11-27,2001-11-25
President of the Council of States,Anton Cottier,Q121147,2001-11-26,2002-11-25
President of the Council of States,Gian-Reto Plattner,Q118060,2002-11-25,2003-11-30
President of the Council of States,Fritz Schiesser,Q693281,2003-11-01,2004-11-29
President of the Council of States,Bruno Frick,Q116486,2004-11-29,2005-11-27
President of the Council of States,Rolf Büttiker,Q120893,2005-11-28,2006-12-03
President of the Council of States,Peter Bieri,Q115926,2006-12-04,2007-12-03
President of the Council of States,Christoffel Brändli,Q116643,2007-12-03,2008-11-30
President of the Council of States,Alain Berset,Q123939,2008-12-01,2009-11-23
President of the Council of States,Erika Forster-Vannini,Q116433,2009-11-23,2010-11-28
President of the Council of States,Hansheiri Inderkum,Q118384,2010-11-29,2011-12-04
President of the Council of States,Hans Altherr,Q117781,2011-12-05,2012-11-25
President of the Council of States,Filippo Lombardi,Q353273,2012-11-26,2013-11-24
President of the Council of States,Hannes Germann,Q116475,2013-11-24,2014-11-24
President of the Council of States,Claude Hêche,Q118306,2014-11-24,2015-11-29
President of the Council of States,Raphaël Comte,Q118343,2015-11-30,2016-11-28
President of the Council of States,Ivo Bischofberger,Q693332,2016-11-28,2017-11-26
President of the Council of States,Karin Keller-Sutter,Q115881,2017-11-27,2018-11-26
President of the Council of States,Jean-René Fournier,Q118387,2018-11-26,2019-12-01
President of the Council of States,Hans Stöckli,Q122852,2019-12-02,2020-11-30
President of the Council of States,Alex Kuprecht,Q118349,2020-11-30,2021-11-29
President of the Council of States,Thomas Hefti,Q16021674,2021-11-29,
President of the National Council,Max Binder,Q116490,2003-11-01,2004-11-29
President of the National Council,Pascale Bruderer,Q116100,2009-11-23,2010-11-28
President of the National Council,Maya Graf,Q119406,2012-11-26,2013-11-25
President of the National Council,Dominique de Buman,Q1238363,2017-11-27,2018-11-26
President of the National Council,Marina Carobbio Guscetti,Q118310,2018-11-26,2019-12-01
President of the National Council,Isabelle Moret,Q120742,2019-12-02,2020-11-30
President of the National Council,Andreas Aebi,Q117403,2020-11-30,2021-11-29
President of the National Council,Irène Kälin,Q19502656,2021-11-29,
Chief of the Armed Forces,André Blattmann,Q120004,2008-08-20,2009-02-28
Chief of the Armed Forces,André Blattmann,Q120004,2009-03-01,2016-12-31
Chief of the Armed Forces,Thomas Süssli,Q67135643,2020-01-01,
Chairman of the Governing Board of the Swiss National Bank,Thomas Jordan,Q2425188,2012-04-18,
