wanted,position,positionid,from,start,end
Q121160,Vice President,Q25550811,Q117254,2021-01-01,2021-12-31
Q118341,President of the National Council,Q2337229,Q1238363,2017-11-27,2018-11-26
Q380063,Vice President,Q25550811,Q115442,2016-01-01,2016-12-31
Q118471,President of the National Council,Q2337229,Q119406,2012-11-26,2013-11-25
Q120021,President of the National Council,Q2337229,Q116490,2003-11-01,2004-11-29
Q123902,President,Q688230,Q115531,2000-01-01,2000-12-31
Q677502,Chancellor,Q687810,Q122094,2000-01-01,2007-12-31
