item,itemLabel,startDate,endDate
Q115531,Adolf Ogi,2000-01-01,2000-12-31
Q115520,Moritz Leuenberger,2001-01-01,2001-12-31
Q605874,Kaspar Villiger,2002-01-01,2002-12-31
Q115513,Pascal Couchepin,2003-01-01,2003-12-31
Q123823,Joseph Deiss,2004-01-01,2004-12-31
Q115841,Samuel Schmid,2005-01-01,2005-12-31
Q115520,Moritz Leuenberger,2006-01-01,2006-12-31
Q122377,Micheline Calmy-Rey,2007-01-01,2007-12-31
Q115513,Pascal Couchepin,2008-01-01,2008-12-31
Q122275,Hans-Rudolf Merz,2009-01-01,2009-12-31
Q115442,Doris Leuthard,2010-01-01,2010-12-31
Q122377,Micheline Calmy-Rey,2011-01-01,2011-12-31
Q162767,Eveline Widmer-Schlumpf,2012-01-01,2012-12-31
Q123979,Ueli Maurer,2013-01-01,2013-12-31
Q58280,Didier Burkhalter,2014-01-01,2014-12-31
Q122991,Simonetta Sommaruga,2015-01-01,2015-12-31
Q380063,Johann Schneider-Ammann,2016-01-01,2016-12-31
Q115442,Doris Leuthard,2017-01-01,2017-12-31
Q123939,Alain Berset,2018-01-01,2018-12-31
Q123979,Ueli Maurer,2019-01-01,2019-12-31
Q122991,Simonetta Sommaruga,2020-01-01,2020-12-31
Q121160,Guy Parmelin,2021-01-01,2021-12-31
Q117254,Ignazio Cassis,2022-01-01,
