pageid,title,wikidata,label
1881396,Alain Berset,Q123939,Alain Berset
20433024,Ueli Maurer,Q123979,Ueli Maurer
22197081,Corine Mauch,Q123363,Corine Mauch
28856581,Karin Keller-Sutter,Q115881,Karin Keller-Sutter
28910781,Simonetta Sommaruga,Q122991,Simonetta Sommaruga
39719293,Thomas Jordan (economist),Q2425188,Thomas Jordan
48772769,Guy Parmelin,Q121160,Guy Parmelin
48976304,Walter Thurnherr,Q21528856,Walter Thurnherr
55296183,Ignazio Cassis,Q117254,Ignazio Cassis
59342520,Viola Amherd,Q120917,Viola Amherd
62795711,Thomas Süssli,Q67135643,Thomas Süssli
62967192,Irène Kälin,Q19502656,Irène Kälin
64071106,Jean-François Paroz,Q47980874,Jean-François Paroz
