position,title
Q18515554,Member of the Swiss Federal Assembly
Q18510613,Member of the Swiss Council of States
Q18510612,Member of the Swiss National Council
Q65621319,member of the Grand Council of Aargau
Q98497235,member of the Cantonal Council of Appenzell Ausserrhoden
Q98497236,member of the Grand Council of Appenzell Innerrhoden
Q98497237,member of the Landrat of Basel-Landschaft
Q98446761,member of the Grand Council of Basel-Stadt
Q98446759,member of the Grand Council of Bern
Q98753108,member of the Grand Council of the Canton of Bern
Q24038993,member of the Grand Council of the canton of Fribourg
Q98446745,member of the Grand Council of Geneva
Q98497238,member of the Landrat of Glarus
Q66763746,member of the Grand Council of Grisons
Q98497239,member of the Parliament of Jura
Q98497240,member of the Cantonal Council of Lucerne
Q98497241,member of the Grand Council of Neuchâtel
Q104829370,member of the Grand Council of the canton of Neuchâtel
Q98497242,member of the Landrat of Nidwalden
Q98497243,member of the Cantonal Council of Obwalden
Q98497244,member of the Cantonal Council of Schaffhausen
Q98497246,member of the Cantonal Council of Solothurn
Q98497247,member of the Cantonal Council of Sankt Gallen
Q98497245,member of the Cantonal Council of Schwyz
Q96749097,member of the Grand Council of Thurgau
Q98497248,member of the Grand Council of Ticino
Q98497249,member of the Landrat of Uri
Q73542431,member of the Grand Council of the canton of Valais
Q72074352,member of the Grand Council of the canton of Vaud
Q98497250,member of the Cantonal Council of Zug
Q98497251,member of the Cantonal Council of Zurich
