name,position
Ignazio Cassis,Member of the Swiss Federal Council
Ignazio Cassis,President of the Swiss Confederation
Alain Berset,Member of the Swiss Federal Council
Guy Parmelin,Member of the Swiss Federal Council
Ueli Maurer,Member of the Swiss Federal Council
Viola Amherd,Member of the Swiss Federal Council
Simonetta Sommaruga,Member of the Swiss Federal Council
Karin Keller-Sutter,Member of the Swiss Federal Council
